lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,source_artifact_path,source_artifact_sha256,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,macro_regime,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text,us10y_value_at_event,us10y_value_lookback,us10y_change_bps,us10y_level,us10y_trend,dxy_value_at_event,dxy_value_lookback,dxy_change,dxy_level,dxy_trend,t5yie_value_at_event,t5yie_value_lookback,t5yie_change,t5yie_level,t5yie_trend
CPI_GOLD_2023-04-01,cpi_gold_v1,CPI,2023-04-01,2023-05-10,first_gold_session_on_or_after_release_timestamp,2030.5,2023-05-10T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,302.845,301.821,0.339274,inflation_pressure_up,EXPANSION,2014.699951,-0.778136,DOWN,1980.699951,-2.4526,DOWN,1963.599976,-3.294756,DOWN,20,"After CPI changed by 0.339274% on 2023-04-01, gold moved -3.294756% over 20 trading days (DOWN).",1.16,1.6,-44.0,low_yield_regime,yields_falling,102.510002,105.029999,-2.519997,normal_dxy_regime,dxy_falling,2.4,2.65,-0.25,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2023-05-01,cpi_gold_v1,CPI,2023-05-01,2023-06-14,first_gold_session_on_or_after_release_timestamp,1955.300049,2023-06-14T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,303.334,302.845,0.161469,inflation_pressure_up,RECOVERY,1957.800049,0.127858,UP,1912.699951,-2.178699,DOWN,1960.099976,0.245483,UP,5,"After CPI changed by 0.161469% on 2023-05-01, gold moved -2.178699% over 5 trading days (DOWN).",1.36,1.16,20.0,low_yield_regime,yields_rising,102.150002,102.510002,-0.360001,normal_dxy_regime,dxy_flat,2.24,2.4,-0.16,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2023-06-01,cpi_gold_v1,CPI,2023-06-01,2023-07-12,first_gold_session_on_or_after_release_timestamp,1956.199951,2023-07-12T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,304.014,303.334,0.224175,inflation_pressure_up,RECOVERY,1959.199951,0.153359,UP,1977.5,1.088848,UP,1915.400024,-2.085673,DOWN,20,"After CPI changed by 0.224175% on 2023-06-01, gold moved -2.085673% over 20 trading days (DOWN).",1.45,1.24,21.0,low_yield_regime,yields_rising,103.559998,101.959999,1.599998,normal_dxy_regime,dxy_rising,2.07,2.18,-0.11,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2023-07-01,cpi_gold_v1,CPI,2023-07-01,2023-08-09,first_gold_session_on_or_after_release_timestamp,1915.400024,2023-08-09T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,304.609,304.014,0.195715,inflation_pressure_up,RECOVERY,1914.400024,-0.052208,FLAT,1896.099976,-1.007625,DOWN,1917.5,0.109636,UP,5,"After CPI changed by 0.195715% on 2023-07-01, gold moved -1.007625% over 5 trading days (DOWN).",1.59,1.45,14.0,low_yield_regime,yields_rising,102.910004,103.559998,-0.649994,normal_dxy_regime,dxy_flat,2.18,2.07,0.11,normal_breakeven_regime,breakeven_rising
CPI_GOLD_2023-08-01,cpi_gold_v1,CPI,2023-08-01,2023-09-13,first_gold_session_on_or_after_release_timestamp,1909.099976,2023-09-13T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,306.082,304.609,0.483571,inflation_pressure_up,LATE_CYCLE,1910.0,0.047144,FLAT,1945.599976,1.911896,UP,1872.800049,-1.901416,DOWN,5,"After CPI changed by 0.483571% on 2023-08-01, gold moved 1.911896% over 5 trading days (UP).",1.68,1.59,9.0,low_yield_regime,yields_flat,102.300003,102.910004,-0.610001,normal_dxy_regime,dxy_flat,2.26,2.18,0.08,normal_breakeven_regime,breakeven_flat
CPI_GOLD_2023-09-01,cpi_gold_v1,CPI,2023-09-01,2023-10-11,first_gold_session_on_or_after_release_timestamp,1872.800049,2023-10-11T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,307.276,306.082,0.390092,inflation_pressure_up,LATE_CYCLE,1869.300049,-0.186886,DOWN,1955.300049,4.405169,UP,1951.5,4.202261,UP,5,"After CPI changed by 0.390092% on 2023-09-01, gold moved 4.405169% over 5 trading days (UP).",1.92,1.72,20.0,low_yield_regime,yields_rising,104.239998,102.589996,1.650002,normal_dxy_regime,dxy_rising,2.17,2.25,-0.08,normal_breakeven_regime,breakeven_flat
CPI_GOLD_2023-10-01,cpi_gold_v1,CPI,2023-10-01,2023-11-08,first_gold_session_on_or_after_release_timestamp,1951.5,2023-11-08T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,307.696,307.276,0.136685,inflation_pressure_up,LATE_CYCLE,1964.199951,0.650779,UP,1960.099976,0.440685,UP,2029.900024,4.017424,UP,20,"After CPI changed by 0.136685% on 2023-10-01, gold moved 4.017424% over 20 trading days (UP).",2.24,1.92,32.0,normal_yield_regime,yields_rising,106.169998,104.239998,1.93,high_dxy_regime,dxy_rising,2.22,2.17,0.05,normal_breakeven_regime,breakeven_flat
CPI_GOLD_2023-11-01,cpi_gold_v1,CPI,2023-11-01,2023-12-13,first_gold_session_on_or_after_release_timestamp,1982.300049,2023-12-13T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,308.148,307.696,0.146898,inflation_pressure_up,RECOVERY,2030.199951,2.41638,UP,2034.5,2.633302,UP,2046.699951,3.248746,UP,20,"After CPI changed by 0.146898% on 2023-11-01, gold moved 3.248746% over 20 trading days (UP).",2.36,2.34,2.0,normal_yield_regime,yields_flat,106.879997,106.900002,-0.020004,high_dxy_regime,dxy_flat,2.36,2.23,0.13,normal_breakeven_regime,breakeven_rising
CPI_GOLD_2023-12-01,cpi_gold_v1,CPI,2023-12-01,2024-01-10,first_gold_session_on_or_after_release_timestamp,2021.699951,2024-01-10T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,308.741,308.148,0.19244,inflation_pressure_up,RECOVERY,2014.300049,-0.366024,DOWN,2018.599976,-0.153335,DOWN,2032.199951,0.519365,UP,20,"After CPI changed by 0.19244% on 2023-12-01, gold moved 0.519365% over 20 trading days (UP).",2.0,2.36,-36.0,normal_yield_regime,yields_falling,103.269997,106.879997,-3.610001,normal_dxy_regime,dxy_falling,2.12,2.36,-0.24,normal_breakeven_regime,breakeven_falling
CPI_GOLD_2024-01-01,cpi_gold_v1,CPI,2024-01-01,2024-02-14,first_gold_session_on_or_after_release_timestamp,1990.300049,2024-02-14T08:30:00,C:\AurumAI\AurumAI\data\economic\CPIAUCSL.csv,04337a0b5f9995141bebfbea75d955e55b4b6649365000ac1a9d3776ce25577e,309.698,308.741,0.309969,inflation_pressure_up,CONTRACTION,2002.099976,0.592872,UP,2019.699951,1.477159,UP,2163.0,8.677081,UP,20,"After CPI changed by 0.309969% on 2024-01-01, gold moved 8.677081% over 20 trading days (UP).",1.72,2.0,-28.0,low_yield_regime,yields_falling,101.330002,103.269997,-1.939995,normal_dxy_regime,dxy_falling,2.12,2.12,0.0,normal_breakeven_regime,breakeven_flat
