lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
CPI_GOLD_2020-05-01,cpi_gold_v1,CPI,2020-05-01,2020-06-10,first_gold_session_on_or_after_release_timestamp,1713.300049,2020-06-10T08:30:00,255.802,256.032,-0.089833,inflation_pressure_down,1732.0,1.091458,UP,1729.199951,0.928028,UP,1799.199951,5.01371,UP,20,"After CPI changed by -0.089833% on 2020-05-01, gold moved 5.01371% over 20 trading days (UP)."
CPI_GOLD_2020-06-01,cpi_gold_v1,CPI,2020-06-01,2020-07-08,first_gold_session_on_or_after_release_timestamp,1815.5,2020-07-08T08:30:00,257.042,255.802,0.48475,inflation_pressure_up,1799.199951,-0.897827,DOWN,1811.400024,-0.225832,DOWN,2031.099976,11.875515,UP,20,"After CPI changed by 0.48475% on 2020-06-01, gold moved 11.875515% over 20 trading days (UP)."
CPI_GOLD_2020-07-01,cpi_gold_v1,CPI,2020-07-01,2020-08-12,first_gold_session_on_or_after_release_timestamp,1934.900024,2020-08-12T08:30:00,258.352,257.042,0.509644,inflation_pressure_up,1956.699951,1.126669,UP,1958.699951,1.230034,UP,1954.199951,0.997464,UP,5,"After CPI changed by 0.509644% on 2020-07-01, gold moved 1.230034% over 5 trading days (UP)."
CPI_GOLD_2020-08-01,cpi_gold_v1,CPI,2020-08-01,2020-09-09,first_gold_session_on_or_after_release_timestamp,1944.699951,2020-09-09T08:30:00,259.316,258.352,0.373134,inflation_pressure_up,1954.199951,0.488507,UP,1960.199951,0.797038,UP,1883.599976,-3.141872,DOWN,20,"After CPI changed by 0.373134% on 2020-08-01, gold moved -3.141872% over 20 trading days (DOWN)."
CPI_GOLD_2020-09-01,cpi_gold_v1,CPI,2020-09-01,2020-10-14,first_gold_session_on_or_after_release_timestamp,1901.300049,2020-10-14T08:30:00,259.997,259.316,0.262614,inflation_pressure_up,1903.199951,0.099926,FLAT,1924.599976,1.225473,UP,1860.699951,-2.135386,DOWN,20,"After CPI changed by 0.262614% on 2020-09-01, gold moved -2.135386% over 20 trading days (DOWN)."
CPI_GOLD_2020-10-01,cpi_gold_v1,CPI,2020-10-01,2020-11-11,first_gold_session_on_or_after_release_timestamp,1860.699951,2020-11-11T08:30:00,260.319,259.997,0.123848,inflation_pressure_up,1872.599976,0.639546,UP,1873.5,0.687916,UP,1833.599976,-1.45644,DOWN,20,"After CPI changed by 0.123848% on 2020-10-01, gold moved -1.45644% over 20 trading days (DOWN)."
CPI_GOLD_2020-11-01,cpi_gold_v1,CPI,2020-11-01,2020-12-09,first_gold_session_on_or_after_release_timestamp,1834.599976,2020-12-09T08:30:00,260.911,260.319,0.227413,inflation_pressure_up,1833.599976,-0.054508,FLAT,1856.099976,1.171918,UP,1834.099976,-0.027254,FLAT,5,"After CPI changed by 0.227413% on 2020-11-01, gold moved 1.171918% over 5 trading days (UP)."
CPI_GOLD_2020-12-01,cpi_gold_v1,CPI,2020-12-01,2021-01-13,first_gold_session_on_or_after_release_timestamp,1853.599976,2021-01-13T08:30:00,262.045,260.911,0.434631,inflation_pressure_up,1850.300049,-0.178028,DOWN,1865.300049,0.631208,UP,1824.900024,-1.548336,DOWN,20,"After CPI changed by 0.434631% on 2020-12-01, gold moved -1.548336% over 20 trading days (DOWN)."
CPI_GOLD_2021-01-01,cpi_gold_v1,CPI,2021-01-01,2021-02-10,first_gold_session_on_or_after_release_timestamp,1840.599976,2021-02-10T08:30:00,262.687,262.045,0.244996,inflation_pressure_up,1824.900024,-0.85298,DOWN,1773.400024,-3.650981,DOWN,1722.300049,-6.427248,DOWN,20,"After CPI changed by 0.244996% on 2021-01-01, gold moved -6.427248% over 20 trading days (DOWN)."
CPI_GOLD_2021-02-01,cpi_gold_v1,CPI,2021-02-01,2021-03-10,first_gold_session_on_or_after_release_timestamp,1721.5,2021-03-10T08:30:00,263.579,262.687,0.339568,inflation_pressure_up,1722.300049,0.046474,FLAT,1726.800049,0.307874,UP,1756.800049,2.05054,UP,20,"After CPI changed by 0.339568% on 2021-02-01, gold moved 2.05054% over 20 trading days (UP)."
